Original_Filename,Total_Vehicles,Motorcycles,Cars,Trucks,TruckCar_Percentage
001.jpg,15,7,5,3,53.333333333333336
002.jpg,7,3,3,1,57.14285714285714
003.jpg,6,1,4,1,83.33333333333334
004.jpg,5,1,3,1,80.0
005.jpg,10,2,6,2,80.0
006.jpg,12,5,6,1,58.333333333333336
007.jpg,11,5,5,1,54.54545454545454
008.jpg,10,7,2,1,30.0
009.jpg,10,5,4,1,50.0
010.jpg,10,2,6,2,80.0
011.jpg,8,1,6,1,87.5
012.jpg,7,2,4,1,71.42857142857143
013.jpg,10,3,6,1,70.0
014.jpg,12,4,6,2,66.66666666666666
015.jpg,13,6,5,2,53.84615384615385
016.jpg,6,0,4,2,100.0
017.jpg,10,5,2,3,50.0
018.jpg,9,3,2,4,66.66666666666666
019.jpg,13,3,6,4,76.92307692307693
020.jpg,4,0,3,1,100.0
021.jpg,7,2,4,1,71.42857142857143
022.jpg,11,4,3,4,63.63636363636363
023.jpg,6,0,3,3,100.0
024.jpg,10,2,4,4,80.0
025.jpg,4,2,1,1,50.0
026.jpg,11,7,3,1,36.36363636363637
027.jpg,9,7,0,2,22.22222222222222
028.jpg,9,6,1,2,33.33333333333333
029.jpg,10,7,1,2,30.0
030.jpg,9,7,2,0,22.22222222222222
031.jpg,6,4,2,0,33.33333333333333
032.jpg,11,7,3,1,36.36363636363637
033.jpg,7,5,1,1,28.57142857142857
034.jpg,6,5,1,0,16.666666666666664
035.jpg,5,4,1,0,20.0
036.jpg,3,2,1,0,33.33333333333333
037.jpg,3,1,1,1,66.66666666666666
038.jpg,7,6,0,1,14.285714285714285
039.jpg,4,3,0,1,25.0
040.jpg,3,2,1,0,33.33333333333333
041.jpg,7,6,1,0,14.285714285714285
042.jpg,7,5,2,0,28.57142857142857
043.jpg,6,5,1,0,16.666666666666664
044.jpg,6,5,1,0,16.666666666666664
045.jpg,8,4,4,0,50.0
046.jpg,7,5,1,1,28.57142857142857
047.jpg,7,6,1,0,14.285714285714285
048.jpg,2,0,2,0,100.0
049.jpg,5,2,3,0,60.0
050.jpg,10,3,5,2,70.0
051.jpg,10,6,4,0,40.0
052.jpg,5,3,1,1,40.0
053.jpg,7,6,1,0,14.285714285714285
054.jpg,7,6,1,0,14.285714285714285
055.jpg,6,3,3,0,50.0
056.jpg,4,3,1,0,25.0
057.jpg,3,0,3,0,100.0
058.jpg,3,2,1,0,33.33333333333333
059.jpg,6,5,1,0,16.666666666666664
060.jpg,6,4,2,0,33.33333333333333
061.jpg,4,1,3,0,75.0
062.jpg,4,1,2,1,75.0
063.jpg,4,3,1,0,25.0
064.jpg,3,0,3,0,100.0
065.jpg,4,1,2,1,75.0
066.jpg,5,0,2,3,100.0
067.jpg,5,2,3,0,60.0
068.jpg,3,1,2,0,66.66666666666666
069.jpg,2,1,0,1,50.0
070.jpg,5,2,2,1,60.0
071.jpg,8,6,2,0,25.0
072.jpg,5,0,5,0,100.0
073.jpg,4,0,3,1,100.0
074.jpg,4,3,1,0,25.0
075.jpg,1,0,1,0,100.0
076.jpg,2,0,1,1,100.0
077.jpg,6,4,2,0,33.33333333333333
078.jpg,5,3,2,0,40.0
079.jpg,8,6,2,0,25.0
080.jpg,8,7,1,0,12.5
081.jpg,6,2,3,1,66.66666666666666
082.jpg,9,6,2,1,33.33333333333333
083.jpg,11,7,3,1,36.36363636363637
084.jpg,4,3,1,0,25.0
085.jpg,7,4,3,0,42.857142857142854
086.jpg,6,3,3,0,50.0
087.jpg,12,8,3,1,33.33333333333333
088.jpg,9,6,2,1,33.33333333333333
089.jpg,9,5,4,0,44.44444444444444
090.jpg,7,2,5,0,71.42857142857143
091.jpg,7,4,3,0,42.857142857142854
092.jpg,5,3,2,0,40.0
093.jpg,4,3,1,0,25.0
094.jpg,4,3,1,0,25.0
095.jpg,5,3,2,0,40.0
096.jpg,2,1,1,0,50.0
097.jpg,6,3,3,0,50.0
098.jpg,6,2,3,1,66.66666666666666
099.jpg,8,4,3,1,50.0
100.jpg,7,3,4,0,57.14285714285714
101.jpg,9,6,2,1,33.33333333333333
102.jpg,5,4,1,0,20.0
103.jpg,8,6,2,0,25.0
104.jpg,3,2,1,0,33.33333333333333
105.jpg,2,1,1,0,50.0
106.jpg,7,4,3,0,42.857142857142854
107.jpg,7,3,4,0,57.14285714285714
108.jpg,4,1,3,0,75.0
109.jpg,4,0,4,0,100.0
110.jpg,4,2,1,1,50.0
111.jpg,8,7,1,0,12.5
112.jpg,6,5,1,0,16.666666666666664
113.jpg,8,7,1,0,12.5
114.jpg,4,0,3,1,100.0
115.jpg,1,0,1,0,100.0
116.jpg,6,4,1,1,33.33333333333333
117.jpg,3,0,2,1,100.0
118.jpg,7,4,2,1,42.857142857142854
119.jpg,6,3,2,1,50.0
120.jpg,2,1,0,1,50.0
121.jpg,6,5,0,1,16.666666666666664
122.jpg,8,7,0,1,12.5
123.jpg,10,8,1,1,20.0
124.jpg,7,3,3,1,57.14285714285714
125.jpg,7,3,4,0,57.14285714285714
126.jpg,9,6,3,0,33.33333333333333
127.jpg,12,5,5,2,58.333333333333336
128.jpg,11,9,2,0,18.181818181818183
129.jpg,3,2,0,1,33.33333333333333
130.jpg,7,4,1,2,42.857142857142854
131.jpg,10,7,0,3,30.0
132.jpg,6,3,1,2,50.0
133.jpg,6,4,1,1,33.33333333333333
134.jpg,10,8,1,1,20.0
135.jpg,10,7,2,1,30.0
136.jpg,9,6,2,1,33.33333333333333
137.jpg,8,3,4,1,62.5
138.jpg,5,3,1,1,40.0
139.jpg,8,5,1,2,37.5
140.jpg,8,4,3,1,50.0
141.jpg,5,3,1,1,40.0
142.jpg,3,1,1,1,66.66666666666666
143.jpg,5,1,3,1,80.0
144.jpg,7,1,5,1,85.71428571428571
145.jpg,10,4,4,2,60.0
146.jpg,8,3,3,2,62.5
147.jpg,8,4,3,1,50.0
148.jpg,5,1,3,1,80.0
149.jpg,7,2,3,2,71.42857142857143
150.jpg,9,1,3,5,88.88888888888889
151.jpg,6,2,3,1,66.66666666666666
152.jpg,7,4,2,1,42.857142857142854
153.jpg,6,3,1,2,50.0
154.jpg,6,0,3,3,100.0
155.jpg,6,2,2,2,66.66666666666666
156.jpg,4,3,0,1,25.0
157.jpg,9,7,1,1,22.22222222222222
158.jpg,12,9,2,1,25.0
159.jpg,8,8,0,0,0.0
160.jpg,10,6,3,1,40.0
161.jpg,12,5,4,3,58.333333333333336
162.jpg,9,2,4,3,77.77777777777779
163.jpg,8,3,5,0,62.5
164.jpg,5,2,2,1,60.0
165.jpg,10,3,5,2,70.0
166.jpg,8,5,1,2,37.5
167.jpg,9,4,4,1,55.55555555555556
168.jpg,5,2,3,0,60.0
169.jpg,8,3,4,1,62.5
170.jpg,10,6,4,0,40.0
171.jpg,7,3,3,1,57.14285714285714
172.jpg,6,2,1,3,66.66666666666666
173.jpg,4,1,1,2,75.0
174.jpg,6,2,3,1,66.66666666666666
175.jpg,5,3,1,1,40.0
176.jpg,5,2,2,1,60.0
177.jpg,2,1,1,0,50.0
178.jpg,8,5,1,2,37.5
179.jpg,10,6,2,2,40.0
180.jpg,10,5,2,3,50.0
181.jpg,9,4,3,2,55.55555555555556
182.jpg,7,2,3,2,71.42857142857143
183.jpg,8,5,1,2,37.5
184.jpg,7,1,4,2,85.71428571428571
185.jpg,10,7,2,1,30.0
186.jpg,6,4,1,1,33.33333333333333
187.jpg,8,3,3,2,62.5
188.jpg,11,2,6,3,81.81818181818183
189.jpg,10,3,5,2,70.0
190.jpg,9,4,3,2,55.55555555555556
191.jpg,12,8,3,1,33.33333333333333
192.jpg,15,8,4,3,46.666666666666664
193.jpg,12,4,6,2,66.66666666666666
194.jpg,11,7,1,3,36.36363636363637
195.jpg,5,3,0,2,40.0
196.jpg,11,9,1,1,18.181818181818183
197.jpg,12,4,4,4,66.66666666666666
198.jpg,8,3,3,2,62.5
199.jpg,12,8,3,1,33.33333333333333
200.jpg,12,8,2,2,33.33333333333333
201.jpg,12,7,2,3,41.66666666666667
202.jpg,10,2,4,4,80.0
203.jpg,15,10,4,1,33.33333333333333
204.jpg,11,7,2,2,36.36363636363637
205.jpg,17,10,4,3,41.17647058823529
206.jpg,12,6,4,2,50.0
207.jpg,10,6,3,1,40.0
208.jpg,10,5,3,2,50.0
209.jpg,7,4,1,2,42.857142857142854
210.jpg,7,3,3,1,57.14285714285714
211.jpg,9,1,4,4,88.88888888888889
212.jpg,7,4,0,3,42.857142857142854
213.jpg,8,5,3,0,37.5
214.jpg,13,8,4,1,38.46153846153847
215.jpg,11,5,5,1,54.54545454545454
216.jpg,8,4,4,0,50.0
217.jpg,11,8,2,1,27.27272727272727
218.jpg,10,8,2,0,20.0
219.jpg,10,7,3,0,30.0
220.jpg,6,3,2,1,50.0
221.jpg,7,7,0,0,0.0
222.jpg,5,4,1,0,20.0
223.jpg,10,6,2,2,40.0
224.jpg,9,5,3,1,44.44444444444444
225.jpg,7,5,1,1,28.57142857142857
226.jpg,7,6,1,0,14.285714285714285
227.jpg,8,5,2,1,37.5
228.jpg,10,3,6,1,70.0
229.jpg,13,4,8,1,69.23076923076923
230.jpg,10,5,5,0,50.0
231.jpg,12,6,5,1,50.0
232.jpg,14,7,6,1,50.0
233.jpg,9,1,6,2,88.88888888888889
234.jpg,10,4,3,3,60.0
235.jpg,8,4,3,1,50.0
236.jpg,11,5,5,1,54.54545454545454
237.jpg,9,4,3,2,55.55555555555556
238.jpg,13,6,4,3,53.84615384615385
239.jpg,9,6,2,1,33.33333333333333
240.jpg,10,7,0,3,30.0
241.jpg,13,10,1,2,23.076923076923077
242.jpg,11,7,2,2,36.36363636363637
243.jpg,11,7,2,2,36.36363636363637
244.jpg,13,9,3,1,30.76923076923077
245.jpg,16,11,4,1,31.25
246.jpg,9,5,3,1,44.44444444444444
247.jpg,12,6,4,2,50.0
248.jpg,10,6,3,1,40.0
249.jpg,15,10,4,1,33.33333333333333
250.jpg,14,8,5,1,42.857142857142854
251.jpg,14,6,6,2,57.14285714285714
252.jpg,10,5,3,2,50.0
253.jpg,9,4,2,3,55.55555555555556
254.jpg,11,4,3,4,63.63636363636363
255.jpg,14,3,6,5,78.57142857142857
256.jpg,15,8,3,4,46.666666666666664
257.jpg,12,6,4,2,50.0
258.jpg,11,2,5,4,81.81818181818183
259.jpg,8,3,3,2,62.5
260.jpg,12,4,4,4,66.66666666666666
261.jpg,12,6,5,1,50.0
262.jpg,8,2,3,3,75.0
263.jpg,7,2,2,3,71.42857142857143
264.jpg,11,4,4,3,63.63636363636363
265.jpg,12,7,1,4,41.66666666666667
266.jpg,9,4,2,3,55.55555555555556
267.jpg,9,3,2,4,66.66666666666666
268.jpg,7,2,2,3,71.42857142857143
269.jpg,9,3,3,3,66.66666666666666
270.jpg,8,3,3,2,62.5
271.jpg,8,1,5,2,87.5
272.jpg,11,3,5,3,72.72727272727273
273.jpg,11,1,7,3,90.9090909090909
274.jpg,14,7,6,1,50.0
275.jpg,13,5,7,1,61.53846153846154
276.jpg,14,8,5,1,42.857142857142854
277.jpg,13,3,9,1,76.92307692307693
278.jpg,14,7,5,2,50.0
279.jpg,13,6,3,4,53.84615384615385
280.jpg,11,7,1,3,36.36363636363637
281.jpg,9,6,1,2,33.33333333333333
282.jpg,10,9,0,1,10.0
283.jpg,11,6,4,1,45.45454545454545
284.jpg,8,3,3,2,62.5
285.jpg,5,4,0,1,20.0
286.jpg,6,4,1,1,33.33333333333333
287.jpg,11,9,0,2,18.181818181818183
288.jpg,12,9,2,1,25.0
289.jpg,4,2,1,1,50.0
290.jpg,11,5,3,3,54.54545454545454
291.jpg,13,5,4,4,61.53846153846154
292.jpg,14,8,2,4,42.857142857142854
293.jpg,12,7,1,4,41.66666666666667
294.jpg,13,6,3,4,53.84615384615385
295.jpg,17,6,6,5,64.70588235294117
296.jpg,20,7,8,5,65.0
297.jpg,14,9,3,2,35.714285714285715
298.jpg,10,3,4,3,70.0
299.jpg,12,6,4,2,50.0
300.jpg,8,1,4,3,87.5
301.jpg,12,8,2,2,33.33333333333333
302.jpg,12,3,4,5,75.0
303.jpg,13,5,4,4,61.53846153846154
304.jpg,10,2,4,4,80.0
305.jpg,9,2,4,3,77.77777777777779
306.jpg,5,1,1,3,80.0
307.jpg,6,1,2,3,83.33333333333334
308.jpg,9,1,5,3,88.88888888888889
309.jpg,7,0,5,2,100.0
310.jpg,8,1,3,4,87.5
311.jpg,9,4,1,4,55.55555555555556
312.jpg,9,3,5,1,66.66666666666666
313.jpg,13,2,7,4,84.61538461538461
314.jpg,12,2,8,2,83.33333333333334
315.jpg,12,5,5,2,58.333333333333336
316.jpg,11,5,5,1,54.54545454545454
317.jpg,13,5,5,3,61.53846153846154
318.jpg,16,8,7,1,50.0
319.jpg,8,4,3,1,50.0
320.jpg,10,3,4,3,70.0
321.jpg,12,7,2,3,41.66666666666667
322.jpg,14,3,10,1,78.57142857142857
323.jpg,15,15,0,0,0.0
324.jpg,15,15,0,0,0.0
325.jpg,13,12,1,0,7.6923076923076925
326.jpg,13,12,1,0,7.6923076923076925
327.jpg,10,9,1,0,10.0
328.jpg,13,12,1,0,7.6923076923076925
329.jpg,15,8,7,0,46.666666666666664
330.jpg,9,9,0,0,0.0
331.jpg,14,14,0,0,0.0
332.jpg,12,12,0,0,0.0
333.jpg,10,10,0,0,0.0
334.jpg,16,15,1,0,6.25
335.jpg,16,14,2,0,12.5
336.jpg,11,11,0,0,0.0
337.jpg,16,14,2,0,12.5
338.jpg,12,11,1,0,8.333333333333332
339.jpg,14,14,0,0,0.0
340.jpg,7,2,4,1,71.42857142857143
341.jpg,20,16,4,0,20.0
342.jpg,18,16,2,0,11.11111111111111
343.jpg,11,10,0,1,9.090909090909092
344.jpg,18,18,0,0,0.0
345.jpg,15,13,1,1,13.333333333333334
346.jpg,14,13,1,0,7.142857142857142
